DonorZipCode,County,TransactionAmount
90008,Los Angeles,500
90008,Los Angeles,250
90008,Los Angeles,4100
90008,Los Angeles,500
90008,Los Angeles,350
90008,Los Angeles,4100
90008,Los Angeles,4100
90008,Los Angeles,250
90008,Los Angeles,250
90008,Los Angeles,500
90008,Los Angeles,150
90008,Los Angeles,300
90008,Los Angeles,100
90008,Los Angeles,300
90008,Los Angeles,50
90008,Los Angeles,1000
90008,Los Angeles,100
90008,Los Angeles,500
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,200
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,250
90008,Los Angeles,200
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,250
90008,Los Angeles,500
90008,Los Angeles,-500
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,1250
90008,Los Angeles,250
90008,Los Angeles,500
90008,Los Angeles,250
90008,Los Angeles,250
90008,Los Angeles,150
90008,Los Angeles,250
90008,Los Angeles,250
90008,Los Angeles,100
90008,Los Angeles,100
90008,Los Angeles,200
90008,Los Angeles,1000
90008,Los Angeles,1500
90010,Los Angeles,3900
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,390
90010,Los Angeles,390
90010,Los Angeles,390
90010,Los Angeles,390
90010,Los Angeles,390
90010,Los Angeles,851.24
90010,Los Angeles,260
90010,Los Angeles,390
90010,Los Angeles,400
90010,Los Angeles,100
90010,Los Angeles,700
90010,Los Angeles,100
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,4100
90010,Los Angeles,500
90010,Los Angeles,150
90010,Los Angeles,1900
90010,Los Angeles,1400
90010,Los Angeles,500
90010,Los Angeles,2000
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,250
90010,Los Angeles,100
90010,Los Angeles,300
90010,Los Angeles,1300
90010,Los Angeles,150
90010,Los Angeles,1300
90010,Los Angeles,1300
90010,Los Angeles,4100
90010,Los Angeles,250
90010,Los Angeles,5000
90010,Los Angeles,1000
90010,Los Angeles,3900
90010,Los Angeles,5000
90010,Los Angeles,2500
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,250
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,1500
90010,Los Angeles,1250
90010,Los Angeles,250
90010,Los Angeles,250
90010,Los Angeles,700
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1700
90010,Los Angeles,2400
90010,Los Angeles,500
90010,Los Angeles,700
90010,Los Angeles,1800
90010,Los Angeles,1000
90010,Los Angeles,2000
90010,Los Angeles,1000
90010,Los Angeles,200
90010,Los Angeles,4100
90010,Los Angeles,1800
90010,Los Angeles,-1800
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,2000
90010,Los Angeles,1800
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,300
90010,Los Angeles,200
90010,Los Angeles,800
90010,Los Angeles,1200
90010,Los Angeles,300
90010,Los Angeles,1000
90010,Los Angeles,2900
90010,Los Angeles,6800
90010,Los Angeles,6800
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,4100
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,2500
90010,Los Angeles,500
90010,Los Angeles,2000
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1900
90010,Los Angeles,400
90010,Los Angeles,500
90010,Los Angeles,250
90010,Los Angeles,500
90010,Los Angeles,200
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,350
90010,Los Angeles,1000
90010,Los Angeles,1900
90010,Los Angeles,1900
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,1900
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,200
90010,Los Angeles,300
90010,Los Angeles,1900
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,150
90010,Los Angeles,250
90010,Los Angeles,300
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,900
90010,Los Angeles,500
90010,Los Angeles,100
90010,Los Angeles,100
90010,Los Angeles,500
90010,Los Angeles,250
90010,Los Angeles,100
90010,Los Angeles,100
90010,Los Angeles,300
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,100
90010,Los Angeles,200
90010,Los Angeles,200
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,100
90010,Los Angeles,500
90010,Los Angeles,400
90010,Los Angeles,100
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1500
90010,Los Angeles,100
90010,Los Angeles,500
90010,Los Angeles,200
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,2000
90010,Los Angeles,600
90010,Los Angeles,800
90010,Los Angeles,1500
90010,Los Angeles,4100
90010,Los Angeles,2500
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,100
90010,Los Angeles,1500
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,2500
90010,Los Angeles,2000
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,2000
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,2500
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,2000
90010,Los Angeles,200
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,250
90010,Los Angeles,250
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,250
90010,Los Angeles,250
90010,Los Angeles,2000
90010,Los Angeles,4100
90010,Los Angeles,5000
90010,Los Angeles,15000
90010,Los Angeles,3900
90010,Los Angeles,400
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,2500
90010,Los Angeles,3400
90010,Los Angeles,1000
90010,Los Angeles,150
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,2500
90010,Los Angeles,500
90010,Los Angeles,2000
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,2500
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,650
90010,Los Angeles,1500
90010,Los Angeles,150
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,750
90010,Los Angeles,500
90010,Los Angeles,2500
90010,Los Angeles,500
90010,Los Angeles,2000
90010,Los Angeles,750
90010,Los Angeles,4100
90010,Los Angeles,4100
90010,Los Angeles,2000
90010,Los Angeles,500
90010,Los Angeles,2500
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,250
90010,Los Angeles,4100
90010,Los Angeles,2000
90010,Los Angeles,-4100
90010,Los Angeles,750
90010,Los Angeles,750
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,250
90010,Los Angeles,100
90010,Los Angeles,1000
90010,Los Angeles,200
90010,Los Angeles,1250
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,500
90010,Los Angeles,2000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1250
90010,Los Angeles,1250
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,2000
90010,Los Angeles,250
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,250
90010,Los Angeles,4100
90010,Los Angeles,500
90010,Los Angeles,200
90010,Los Angeles,2000
90010,Los Angeles,1250
90010,Los Angeles,1800
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,1250
90010,Los Angeles,1250
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,2000
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,500
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,2000
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,3000
90010,Los Angeles,1100
90010,Los Angeles,4100
90010,Los Angeles,1900
90010,Los Angeles,4100
90010,Los Angeles,1000
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,250
90010,Los Angeles,1500
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,3000
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,2500
90010,Los Angeles,1500
90010,Los Angeles,1500
90010,Los Angeles,6100
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1500
90010,Los Angeles,500
90010,Los Angeles,500
90010,Los Angeles,100
90010,Los Angeles,1000
90010,Los Angeles,4100
90010,Los Angeles,2500
90010,Los Angeles,1000
90010,Los Angeles,1700
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,1000
90010,Los Angeles,100
90010,Los Angeles,100
90010,Los Angeles,200
