"Application Number","Incentive Amount","Total Cost","Host Customer Physical Zip Code"
"SD-CSI-01837",65106,253756,92116
"SD-CSI-02442",4302,20103,92116
"SD-CSI-12010",809,21510.62,92116
"SD-CSI-15315",649,17467,92116
"SD-CSI-12936",1201,33200,92116
"SD-CSI-08340",1166,32572,92116
"SD-CSI-00951",4195,21014,92116
"SD-CSI-10703",1330,32484.35,92116
"SD-CSI-13094",853,29559,92116
"SD-CSI-06024",2693,26758.2,92116
"SD-CSI-12193",1398,36768,92116
"SD-CSI-07050",1425,25170,92116
"SD-CSI-08619",807,22024.8,92116
"SD-CSI-06683",2577,32000,92116
"SD-CSI-02772",6950,34118.25,92116
"SD-CSI-02454",8639,47025,92116
"SD-CSI-06379",2271,36867.6,92116
"SD-CSI-02452",6858,34719.54,92116
"SD-CSI-16553",776,26600,92116
"SD-CSI-08671",1635,31676.68,92116
"SD-CSI-03133",3971,19137,92116
"SD-CSI-09431",1160,18107,92116
"SD-CSI-04804",2202,12403,92116
"SD-CSI-01080",8417,38040,92116
"SD-CSI-07555",1794,23823,92116
"SD-CSI-00383",9881,36643.07,92116
"SD-CSI-09438",741,20189.4,92116
"SD-CSI-15440",980,30895,92116
"SD-CSI-00197",8206.32,27851,92116
"SD-CSI-01125",6866,32900,92116
"SD-CSI-02467",8784,54200,92116
"SD-CSI-04156",1154,20770,92116
"SD-CSI-08818",396,12040,92116
"SD-CSI-02625",4765,27850,92116
"SD-CSI-00468",7116,29100,92116
"SD-CSI-01164",13935,55261.5,92116
"SD-CSI-00499",6498,25572,92116
"SD-CSI-09764",919,24938.2,92116
"SD-CSI-15215",688,29807.2,92116
"SD-CSI-14357",1021,21359,92116
"SD-CSI-11319",1523,43427,92116
"SD-CSI-11320",684,13500,92116
"SD-CSI-07687",2438,21790,92116
"SD-CSI-07708",1806,18837,92116
"SD-CSI-04895",2663,16540.94,92116
"SD-CSI-06922",3448,45567,92116
"SD-CSI-07702",1227,26760,92116
"SD-CSI-02502",3783,19323.31,92116
"SD-CSI-16213",853,29806.7,92116
"SD-CSI-02638",4309,15000,92116
"SD-CSI-06118",2368,33894,92116
"SD-CSI-01240",7352,32885,92116
"SD-CSI-04494",1307,17567.01,92116
"SD-CSI-06769",1796,26750,92116
"SD-CSI-04243",2353,19962,92116
"SD-CSI-02181",7176,32939,92116
"SD-CSI-08437",645,20942,92116
"SD-CSI-01650",11521,49187.45,92116
"SD-CSI-08327",1169,34750,92116
"SD-CSI-06824",1437,17739,92116
"SD-CSI-05774",2808,29600,92116
"SD-CSI-00614",6431,22129.91,92116
"SD-CSI-13734",534,19968,92116
"SD-CSI-06417",2483,28369,92116
"SD-CSI-10180",894,16776.2,92116
"SD-CSI-07205",1433,15876,92116
"SD-CSI-15688",914,22800,92116
"SD-CSI-00708",9806,36197,92116
"SD-CSI-06828",2953,36540,92116
"SD-CSI-00876",11702,47222,92116
"SD-CSI-08004",700,21350,92116
"SD-CSI-14088",868,24700,92116
"SD-CSI-00674",9120,36197,92116
"SD-CSI-03271",2517,11655.6,92116
"SD-CSI-09562",1202,33755.4,92116
"SD-CSI-03102",3142,18278.71,92116
"SD-CSI-16340",1080,26801,92116
"SD-CSI-04992",3883,26320,92116
"SD-CSI-07880",933,21020.06,92116
"SD-CSI-14105",924,29200,92116
"SD-CSI-13222",907,29000,92116
"SD-CSI-08451",553,17780,92116
"SD-CSI-03745",9015,63695,92116
"SD-CSI-08463",780,16902.09,92116
"SD-CSI-16338",413,10423,92116
"SD-CSI-01436",10929,36664,92116
"SD-CSI-07263",2455,27555,92116
"SD-CSI-15280",308,9471,92116
"SD-CSI-09849",1162,26505.5,92116
"SD-CSI-13477",983,31073.46,92116
"SD-CSI-02405",4668,20907.53,92116
"SD-CSI-15853",455,14945,92116
"SD-CSI-13878",998,32650,92116
"SD-CSI-14769",444,17175.76,92116
"SD-CSI-09120",486,11577,92116
"SD-CSI-02811",5985,28664,92116
"SD-CSI-09139",3233,67673.66,92116
"SD-CSI-00837",14421,63381.2,92116
"SD-CSI-09164",2394,51765,92116
"SD-CSI-06310",2351,29252,92116
"SD-CSI-09327",793,22410,92116
"SD-CSI-10579",1398,35844.8,92116
"SD-CSI-16604",774,23263,92116
"SD-CSI-04428",4314,32517,92116
"SD-CSI-03873",1597,17400,92116
"SD-CSI-11828",1413,34257,92116
"SD-CSI-08179",1562,26700,92116
"SD-CSI-01098",3787,15552,92117
"SD-CSI-01340",10441,47859.87,92117
"SD-CSI-01645",5313,23599,92117
"SD-CSI-03952",5557,37800,92117
"SD-CSI-02503",9781,41160.16,92117
"SD-CSI-04975",1277,20939,92117
"SD-CSI-06336",2339,25941.38,92117
"SD-CSI-06457",3476,36553,92117
"SD-CSI-11950",490,11691.25,92117
"SD-CSI-15295",711,23995,92117
"SD-CSI-11707",1126,23005,92117
"SD-CSI-00914",8476,38690,92117
"SD-CSI-08551",908,17580,92117
"SD-CSI-11724",1584,40750,92117
"SD-CSI-07381",1071,21537,92117
"SD-CSI-13083",1140,36970,92117
"SD-CSI-14008",711,26656,92117
"SD-CSI-16616",1131,30375,92117
"SD-CSI-02437",13441,59674,92117
"SD-CSI-14518",1663,51612,92117
"SD-CSI-11958",671,26850,92117
"SD-CSI-01210",5236,24640,92117
"SD-CSI-09473",579,21012,92117
"SD-CSI-10569",385,14300.5,92117
"SD-CSI-05567",6668,40585.91,92117
"SD-CSI-16441",1287,35650,92117
"SD-CSI-07408",887,16312,92117
"SD-CSI-15324",972,29575,92117
"SD-CSI-00977",4756,21458,92117
"SD-CSI-13295",1055,32337.5,92117
"SD-CSI-07413",1275,14687.5,92117
"SD-CSI-08345",1245,21957,92117
"SD-CSI-15345",380,13855,92117
"SD-CSI-12344",1824,29443.04,92117
"SD-CSI-01867",8478,43092,92117
"SD-CSI-05155",3242,15387.13,92117
"SD-CSI-03167",6119,30903.31,92117
"SD-CSI-11688",440,18664,92117
"SD-CSI-13101",1185,43900,92117
"SD-CSI-02767",10272,46987.56,92117
"SD-CSI-00329",12117,48532.97,92117
"SD-CSI-00312",18057,58636,92117
"SD-CSI-00328",9095,31420,92117
"SD-CSI-03477",2128,27657,92117
"SD-CSI-10221",737,9400,92117
"SD-CSI-06775",1171,12810,92117
"SD-CSI-01763",4331,18523.42,92117
"SD-CSI-07471",2545,32912,92117
"SD-CSI-00150",12042,41539.88,92117
"SD-CSI-09714",1026,19374,92117
"SD-CSI-16632",722,17707,92117
"SD-CSI-11968",1029,25569,92117
"SD-CSI-14815",1042,22800,92117
"SD-CSI-02130",3298,20550,92117
"SD-CSI-10556",1095,39740,92117
"SD-CSI-13319",1191,34953,92117
"SD-CSI-03136",4817,28050,92117
"SD-CSI-15407",797,28800,92117
"SD-CSI-08682",1010,28380,92117
"SD-CSI-07530",3126,34696,92117
"SD-CSI-04125",4268,20858,92117
"SD-CSI-13977",543,15189.75,92117
"SD-CSI-13325",1031,29117,92117
"SD-CSI-08704",1168,26000,92117
"SD-CSI-12904",1177,36750,92117
"SD-CSI-01079",4641,20720,92117
"SD-CSI-13586",839,21263,92117
"SD-CSI-01831",7906,53283.6,92117
"SD-CSI-08202",826,22503.6,92117
"SD-CSI-05203",1157,17469,92117
"SD-CSI-08716",953,26424,92117
"SD-CSI-08720",492,16322,92117
"SD-CSI-11514",765,19513,92117
"SD-CSI-07562",3177,25465,92117
"SD-CSI-12623",1156,37592,92117
"SD-CSI-00119",9788,33171.83,92117
"SD-CSI-13127",1187,37450,92117
"SD-CSI-08388",1027,19114,92117
"SD-CSI-04148",9154,46368,92117
"SD-CSI-07610",1544,19384.44,92117
"SD-CSI-16111",696,17375,92117
"SD-CSI-05698",6562,62150,92117
"SD-CSI-14919",530,20930,92117
"SD-CSI-04164",3589,24773,92117
"SD-CSI-03569",1527,18050,92117
"SD-CSI-01149",6501,32701.4,92117
"SD-CSI-12015",856,21392.5,92117
"SD-CSI-12013",828,26880,92117
"SD-CSI-06653",3006,46922.4,92117
"SD-CSI-08292",1945,52508.4,92117
"SD-CSI-07126",2222,30332,92117
"SD-CSI-14013",770,22230,92117
"SD-CSI-09408",1370,45007.2,92117
"SD-CSI-14224",1118,33432,92117
"SD-CSI-14245",1096,35880,92117
"SD-CSI-14605",859,25074,92117
"SD-CSI-11145",444,17219,92117
"SD-CSI-12663",514,13090,92117
"SD-CSI-11034",688,21670.65,92117
"SD-CSI-08399",592,12050,92117
"SD-CSI-10863",1876,45500,92117
"SD-CSI-08804",605,21700,92117
"SD-CSI-10367",830,22489,92117
"SD-CSI-14025",798,22890,92117
"SD-CSI-05259",2285,17000,92117
"SD-CSI-03380",3266,26250,92117
"SD-CSI-11867",748,17163,92117
"SD-CSI-06103",2912,44608.2,92117
"SD-CSI-01215",8056,34503.64,92117
"SD-CSI-03384",6360,34014.02,92117
"SD-CSI-00664",8865,34020,92117
"SD-CSI-06904",3264,38894,92117
"SD-CSI-16217",567,20250,92117
"SD-CSI-15567",726,21492,92117
"SD-CSI-07710",2191,28273,92117
"SD-CSI-03615",5472,31450,92117
"SD-CSI-10383",1506,36721,92117
"SD-CSI-01226",7249,34254,92117
"SD-CSI-09770",839,27462,92117
"SD-CSI-12958",906,26185,92117
"SD-CSI-01227",7234,26926,92117
"SD-CSI-03242",3272,20339,92117
"SD-CSI-12043",660,25837,92117
"SD-CSI-07726",2695,32159.1,92117
"SD-CSI-11003",1453,38618,92117
"SD-CSI-00581",9283,36326,92117
"SD-CSI-11865",501,11850,92117
"SD-CSI-11292",1130,34750,92117
"SD-CSI-15017",748,23880,92117
"SD-CSI-09519",1110,31185.83,92117
"SD-CSI-16246",431,14662,92117
"SD-CSI-07752",2079,24300,92117
"SD-CSI-07751",1886,17795,92117
"SD-CSI-02365",5888,27419,92117
"SD-CSI-04940",7196,54163.8,92117
"SD-CSI-15625",571,18394.89,92117
"SD-CSI-04267",2823,26500,92117
"SD-CSI-01275",4433,19033,92117
"SD-CSI-11535",719,20323,92117
"SD-CSI-01287",9817,40619,92117
"SD-CSI-08299",821,17685,92117
"SD-CSI-02497",8384,41952,92117
"SD-CSI-16269",761,20260,92117
"SD-CSI-13749",799,24034,92117
"SD-CSI-00206",18360,60989,92117
"SD-CSI-06158",1964,30164.4,92117
"SD-CSI-00619",8448,30846,92117
"SD-CSI-15277",999,18053.67,92117
"SD-CSI-05343",3162,26200,92117
"SD-CSI-15668",545,20852,92117
"SD-CSI-00633",6909,25309,92117
"SD-CSI-08919",1150,19210,92117
"SD-CSI-13764",1098,27420,92117
"SD-CSI-14966",979,24197,92117
"SD-CSI-16282",727,24130,92117
"SD-CSI-01649",8466,41140.85,92117
"SD-CSI-04958",3199,26297.88,92117
"SD-CSI-06528",3512,35000,92117
"SD-CSI-05339",3732,21352,92117
"SD-CSI-06166",2113,22583,92117
"SD-CSI-02657",7112,30412,92117
"SD-CSI-11261",992,24100,92117
"SD-CSI-13782",1280,41000,92117
"SD-CSI-13221",1122,37350,92117
"SD-CSI-09554",651,22504,92117
"SD-CSI-14682",1421,38200,92117
"SD-CSI-09556",1623,45007.2,92117
"SD-CSI-00083",10423.14,42789,92117
"SD-CSI-01711",6998,29178,92117
"SD-CSI-01349",6234,24694,92117
"SD-CSI-15715",565,16206,92117
"SD-CSI-03724",3099,22464,92117
"SD-CSI-02388",4860,21657,92117
"SD-CSI-05825",1629,11666,92117
"SD-CSI-03922",6617,30585.77,92117
"SD-CSI-10403",517,19000,92117
"SD-CSI-15744",986,15221,92117
"SD-CSI-06946",5006,59379.25,92117
"SD-CSI-15141",956,22635,92117
"SD-CSI-09581",679,17595,92117
"SD-CSI-04308",10159,56069.49,92117
"SD-CSI-04305",4969,24243.89,92117
"SD-CSI-14993",1030,30917,92117
"SD-CSI-03756",10793,72000,92117
"SD-CSI-07960",944,18589,92117
"SD-CSI-10495",1091,40516,92117
"SD-CSI-13229",773,27000,92117
"SD-CSI-02399",9753,46181.07,92117
"SD-CSI-15780",397,15680,92117
"SD-CSI-07237",3100,33250,92117
"SD-CSI-06797",2261,25004,92117
"SD-CSI-13822",905,23446,92117
"SD-CSI-06952",3182,44107.75,92117
"SD-CSI-16360",1150,20837,92117
"SD-CSI-05043",4218,49995,92117
"SD-CSI-13439",1116,33164,92117
"SD-CSI-13846",859,21500,92117
"SD-CSI-09061",1387,25500,92117
"SD-CSI-01810",5080,36551.25,92117
"SD-CSI-00250",6538,24247.37,92117
"SD-CSI-08045",1499,29839,92117
"SD-CSI-04365",2927,33228,92117
"SD-CSI-13856",752,23366,92117
"SD-CSI-12799",988,42286,92117
"SD-CSI-07284",1035,18939,92117
"SD-CSI-08025",1457,26125.09,92117
"SD-CSI-02279",2519,15141.85,92117
"SD-CSI-12803",552,20414.8,92117
"SD-CSI-13862",1331,41500,92117
"SD-CSI-08031",1845,39798,92117
"SD-CSI-04371",5828,37087,92117
"SD-CSI-11633",1088,26268,92117
"SD-CSI-01556",4699,21362,92117
"SD-CSI-01818",4273,21880.18,92117
"SD-CSI-10769",686,24445.5,92117
"SD-CSI-15861",479,13500,92117
"SD-CSI-01534",4324,20602,92117
"SD-CSI-05431",1184,17500,92117
"SD-CSI-04575",2988,47554,92117
"SD-CSI-02939",4360,15955.2,92117
"SD-CSI-11636",925,26050,92117
"SD-CSI-10283",250,4100,92117
"SD-CSI-01540",3007,18820,92117
"SD-CSI-10003",1222,32450,92117
"SD-CSI-15870",962,39575,92117
"SD-CSI-13872",756,27648,92117
"SD-CSI-09111",953,22096,92117
"SD-CSI-13884",364,13824,92117
"SD-CSI-05439",2774,20104.68,92117
"SD-CSI-08093",390,5542,92117
"SD-CSI-10005",1502,25220,92117
"SD-CSI-00095",4209.98,20314,92117
"SD-CSI-07001",825,17428,92117
"SD-CSI-00871",8447,32988,92117
"SD-CSI-01561",8202,56815.08,92117
"SD-CSI-03337",5199,19210,92117
"SD-CSI-14189",1406,39627,92117
"SD-CSI-09136",1900,36871,92117
"SD-CSI-11811",673,16060,92117
"SD-CSI-01568",10112,62164.2,92117
"SD-CSI-06729",2070,26418,92117
"SD-CSI-11810",677,16060,92117
"SD-CSI-10202",782,29342,92117
"SD-CSI-15903",392,15680,92117
"SD-CSI-09153",1479,26343,92117
"SD-CSI-05101",4129,19940.15,92117
"SD-CSI-08112",867,27350,92117
"SD-CSI-11936",1168,31740,92117
"SD-CSI-00228",7739,26450,92117
"SD-CSI-05460",1988,25233,92117
"SD-CSI-15194",910,26529,92117
"SD-CSI-16454",660,20108,92117
"SD-CSI-02056",2464,11475,92117
"SD-CSI-02567",6979,31879,92117
"SD-CSI-13914",367,13824,92117
"SD-CSI-15197",690,22150,92117
"SD-CSI-09178",778,19740,92117
"SD-CSI-11822",943,24147,92117
"SD-CSI-01621",6767,26874.93,92117
"SD-CSI-09332",1517,42000,92117
"SD-CSI-01617",2462,18820,92117
"SD-CSI-05474",5971,46997,92117
"SD-CSI-16474",1297,36600,92117
"SD-CSI-11202",663,24045,92117
"SD-CSI-06593",2847,25575,92117
"SD-CSI-14488",929,19725,92117
"SD-CSI-13299",662,20298,92118
"SD-CSI-08504",1647,35800,92118
"SD-CSI-12313",1094,25394,92118
"SD-CSI-04064",8370,46124,92118
"SD-CSI-04067",4571,23835,92118
"SD-CSI-04066",4571,24173,92118
"SD-CSI-00112",9673.57,35973.29,92118
"SD-CSI-05148",2426,19434,92118
"SD-CSI-00299",7808,33400,92118
"SD-CSI-04100",5789,27900,92118
"SD-CSI-00306",7656,30411,92118
"SD-CSI-04095",10033,59205.4,92118
"SD-CSI-15400",897,12280,92118
"SD-CSI-02078",7431,37101.13,92118
"SD-CSI-05158",4354,28500,92118
"SD-CSI-05165",1144,16291,92118
"SD-CSI-09410",417,12020,92118
"SD-CSI-10718",760,23325.96,92118
"SD-CSI-15064",908,27991,92118
"SD-CSI-05631",8309,48875,92118
"SD-CSI-05628",4978,35707,92118
"SD-CSI-13131",719,29894,92118
"SD-CSI-05642",1468,16540,92118
"SD-CSI-01894",9835,53784.55,92118
"SD-CSI-01636",5665,21638.82,92118
"SD-CSI-16067",960,20476,92118
"SD-CSI-13119",1319,41350,92118
"SD-CSI-00425",16562,52371.47,92118
"SD-CSI-01903",10347,32143.76,92118
"SD-CSI-05677",2685,20448,92118
"SD-CSI-08379",887,17442,92118
"SD-CSI-01130",11143,46312.01,92118
"SD-CSI-06074",3788,59079,92118
"SD-CSI-02968",6982,37627.19,92118
"SD-CSI-00528",5136,19866,92118
"SD-CSI-03053",5044,32146,92118
"SD-CSI-01777",5557,26880,92118
"SD-CSI-05706",2588,19500,92118
"SD-CSI-15090",1358,39946,92118
"SD-CSI-15501",1524,44864,92118
"SD-CSI-02163",5472,26663.16,92118
"SD-CSI-05729",2445,15749,92118
"SD-CSI-06911",3019,34100,92118
"SD-CSI-00130",4493,19748.72,92118
"SD-CSI-03622",2561,16771,92118
"SD-CSI-04232",5289,43943,92118
"SD-CSI-00600",4353,16324,92118
"SD-CSI-00592",8313,30633,92118
"SD-CSI-06142",18026,108000,92118
"SD-CSI-02189",6783,31746.57,92118
"SD-CSI-04912",5330,40848,92118
"SD-CSI-04244",6355,38514,92118
"SD-CSI-04919",9192,73982,92118
"SD-CSI-04922",4352,29822,92118
"SD-CSI-01272",4756,19756,92118
"SD-CSI-04928",4068,29597,92118
"SD-CSI-00045",11412.17,46611.6,92118
"SD-CSI-06530",2222,25522,92118
"SD-CSI-04275",3374,18598,92118
"SD-CSI-01344",15543,61100,92118
"SD-CSI-12732",1936,68947,92118
"SD-CSI-02898",7408,23573,92118
"SD-CSI-08951",1879,39539,92118
"SD-CSI-03735",4376,23462,92118
"SD-CSI-02906",2485,14951,92118
"SD-CSI-03734",4585,30002,92118
"SD-CSI-08993",692,17900,92118
"SD-CSI-11433",864,27920,92118
"SD-CSI-05004",2847,21600,92118
"SD-CSI-04324",5758,30551,92118
"SD-CSI-11798",1759,50000,92118
"SD-CSI-03298",3948,23430,92118
"SD-CSI-02241",5360,28900,92118
"SD-CSI-00219",12598,52235.64,92118
"SD-CSI-02698",2711,20736,92118
"SD-CSI-05047",3547,26006.42,92118
"SD-CSI-01811",5344,37742.55,92118
"SD-CSI-16382",1610,45300,92118
"SD-CSI-01490",12089,45312.42,92118
"SD-CSI-12494",994,24721,92118
"SD-CSI-01494",2171,12654.4,92118
"SD-CSI-04373",14900,67986,92118
"SD-CSI-00784",135498,903250,92118
"SD-CSI-14870",711,19600,92118
"SD-CSI-10992",964,25094.26,92118
"SD-CSI-00802",10217,39596.65,92118
"SD-CSI-00128",10103,36000,92118
"SD-CSI-12819",784,26626,92118
"SD-CSI-01566",5863,23275.83,92118
"SD-CSI-10078",1101,22853,92118
"SD-CSI-05472",3282,25220.55,92118
"SD-CSI-03728",7125,20245,92119
"SD-CSI-05121",2700,19491.13,92119
"SD-CSI-00535",2427,12194.8,92119
"SD-CSI-15941",496,13121,92119
"SD-CSI-14914",942,22500,92119
"SD-CSI-01663",11119,45215,92119
"SD-CSI-01779",11349,77976,92119
"SD-CSI-14241",1170,37300,92119
"SD-CSI-04708",2727,20545.3,92119
"SD-CSI-00887",3496,14400,92119
"SD-CSI-14237",757,21347,92119
"SD-CSI-05553",3369,23100,92119
"SD-CSI-15307",594,22816,92119
"SD-CSI-02432",5662,39648,92119
"SD-CSI-09761",1441,20000,92119
"SD-CSI-06741",1597,23805,92119
"SD-CSI-11235",1208,27546,92119
"SD-CSI-14526",664,26651,92119
"SD-CSI-11545",516,11760,92119
"SD-CSI-01857",8807,44960,92119
"SD-CSI-10692",602,11313.36,92119
"SD-CSI-11473",1906,43276,92119
"SD-CSI-04285",5507,35196,92119
"SD-CSI-01755",7522,26517.59,92119
"SD-CSI-10842",1000,23608,92119
"SD-CSI-09237",1309,26772,92119
"SD-CSI-10986",568,14904,92119
"SD-CSI-13103",931,42296.19,92119
"SD-CSI-05603",4927,26927,92119
"SD-CSI-02456",7606,37848,92119
"SD-CSI-04078",1679,12122,92119
"SD-CSI-13952",1389,40024,92119
"SD-CSI-12886",958,30317,92119
"SD-CSI-14561",606,19813.5,92119
"SD-CSI-09415",1066,31531,92119
"SD-CSI-07489",2910,25559,92119
"SD-CSI-16038",524,16243.5,92119
"SD-CSI-04128",4008,22793,92119
"SD-CSI-02462",7738,35551.48,92119
"SD-CSI-15415",741,21492,92119
"SD-CSI-03036",7706,29520,92119
"SD-CSI-16438",1236,35825,92119
"SD-CSI-11562",1211,32314,92119
"SD-CSI-07560",1600,30250,92119
"SD-CSI-03894",7294,52632.05,92119
"SD-CSI-07577",2839,33831,92119
"SD-CSI-15243",887,34405,92119
"SD-CSI-01188",5302,22600,92119
"SD-CSI-10834",860,34051,92119
"SD-CSI-13996",941,28457,92119
"SD-CSI-09467",1275,40773,92119
"SD-CSI-03586",3165,19369,92119
"SD-CSI-10739",759,25732,92119
"SD-CSI-07139",2368,39960,92119
"SD-CSI-12056",1198,35796,92119
"SD-CSI-01189",6886,24110,92119
"SD-CSI-08406",821,27870,92119
"SD-CSI-14356",1854,58484,92119
"SD-CSI-10169",2099,46350,92119
"SD-CSI-05270",2216,16498,92119
"SD-CSI-08836",1235,25711.35,92119
"SD-CSI-08837",2181,40403.55,92119
"SD-CSI-02644",7741,28000,92119
"SD-CSI-16233",828,19000,92119
"SD-CSI-09789",1186,20760,92119
"SD-CSI-05508",1781,14310,92119
"SD-CSI-15604",833,24990,92119
"SD-CSI-16256",1026,27100,92119
"SD-CSI-03076",5476,30532.2,92119
"SD-CSI-15630",745,25985,92119
"SD-CSI-04657",2936,22577,92119
"SD-CSI-03662",8141,44100,92119
"SD-CSI-11586",774,15840,92119
"SD-CSI-05778",4049,31364.91,92119
"SD-CSI-16564",921,24200,92119
"SD-CSI-13763",458,19968,92119
"SD-CSI-09565",1368,19585,92119
"SD-CSI-11435",1486,49050,92119
"SD-CSI-09354",1029,25478,92119
"SD-CSI-09846",1119,31458,92119
"SD-CSI-10694",1230,33300,92119
"SD-CSI-10560",826,33240,92119
"SD-CSI-07218",3134,33537,92119
"SD-CSI-03289",6006,34785,92119
"SD-CSI-09586",1297,26297,92119
"SD-CSI-00695",8569,29690.28,92119
"SD-CSI-06185",2937,34024,92119
"SD-CSI-16337",646,26408,92119
"SD-CSI-02686",8854,40833.97,92119
"SD-CSI-02004",5024,25593.03,92119
"SD-CSI-11791",850,20100,92119
"SD-CSI-03294",8651,50100,92119
"SD-CSI-13034",1200,36248,92119
"SD-CSI-14720",1122,37000,92119
"SD-CSI-15775",1119,28800,92119
"SD-CSI-05028",5601,55935,92119
"SD-CSI-15168",1047,37935.8,92119
"SD-CSI-10192",1839,38000,92119
"SD-CSI-15512",1517,35839,92119
"SD-CSI-07260",2673,37300,92119
"SD-CSI-04616",4803,36750,92119
"SD-CSI-09070",1788,39063,92119
"SD-CSI-07272",2221,24300,92119
"SD-CSI-10584",1334,46854,92119
"SD-CSI-16402",637,19584,92119
"SD-CSI-09993",562,17920,92119
"SD-CSI-02708",8763,57850,92119
"SD-CSI-06580",2959,30967,92119
"SD-CSI-10953",984,27133,92119
"SD-CSI-14453",1044,30901,92119
"SD-CSI-02292",4927,35522.4,92119
"SD-CSI-00806",7386,21803,92119
"SD-CSI-15815",744,21317,92119
"SD-CSI-15030",1069,31044,92119
"SD-CSI-16599",1386,35824.5,92119
"SD-CSI-06301",2259,20293.58,92119
"SD-CSI-06998",1893,17487,92119
"SD-CSI-07318",1800,21750,92119
"SD-CSI-15921",1265,36996,92119
"SD-CSI-11305",1730,46370,92119
"SD-CSI-09657",822,26261,92119
"SD-CSI-03115",11038,62948.84,92119
"SD-CSI-10344",1245,33944,92119
"SD-CSI-13264",810,24852,92119
"SD-CSI-05115",4477,32604,92119
"SD-CSI-14490",1524,44050,92119
"SD-CSI-02840",9407,40298.48,92120
"SD-CSI-04679",4164,31981,92120
"SD-CSI-04264",5306,33186.77,92120
"SD-CSI-12291",1734,40100,92120
"SD-CSI-04731",1682,29799,92120
"SD-CSI-04716",3272,26922.2,92120
"SD-CSI-04733",11769,75474.2,92120
"SD-CSI-04556",1332,14407,92120
"SD-CSI-09927",815,16552,92120
"SD-CSI-11339",1736,59200,92120
"SD-CSI-10790",1438,51176,92120
"SD-CSI-13483",1001,32494,92120
"SD-CSI-00279",10788,36082,92120
"SD-CSI-05132",2411,20397.08,92120
"SD-CSI-00269",9678,32856,92120
"SD-CSI-07026",2316,29170,92120
"SD-CSI-07025",847,18672,92120
"SD-CSI-00902",5744,24828.01,92120
"SD-CSI-00918",7331,32729,92120
"SD-CSI-06742",2255,23929.8,92120
"SD-CSI-16498",483,14990,92120
"SD-CSI-06606",1855,24999.73,92120
"SD-CSI-00109",11833,47097.95,92120
"SD-CSI-05587",4370,31663.27,92120
"SD-CSI-02581",9677,41222,92120
"SD-CSI-15316",1122,33660,92120
"SD-CSI-06465",1886,22779.71,92120
"SD-CSI-10432",694,19224,92120
"SD-CSI-00181",8848,33634,92120
"SD-CSI-03174",4870,24254.33,92120
"SD-CSI-04011",3049,16860,92120
"SD-CSI-02777",4955,27892,92120
"SD-CSI-10438",1218,32986.31,92120
"SD-CSI-16623",437,13464,92120
"SD-CSI-13568",902,28750,92120
"SD-CSI-13940",680,27648,92120
"SD-CSI-06767",3548,34965,92120
"SD-CSI-07433",4135,41961,92120
"SD-CSI-14538",689,20876,92120
"SD-CSI-15346",594,17250,92120
"SD-CSI-04466",2772,23230.59,92120
"SD-CSI-06843",2209,23000,92120
"SD-CSI-09695",1905,31000,92120
"SD-CSI-08603",810,25695.6,92120
"SD-CSI-13537",1687,51000,92120
"SD-CSI-02338",8263,36482,92120
"SD-CSI-01887",7786,48735,92120
"SD-CSI-06026",4573,42430,92120
"SD-CSI-09895",416,11816,92120
"SD-CSI-11068",386,9794.8,92120
"SD-CSI-12585",1658,35958,92120
"SD-CSI-05612",4276,32139.58,92120
"SD-CSI-11104",861,25000,92120
"SD-CSI-08667",2347,41180,92120
"SD-CSI-09236",572,14920,92120
"SD-CSI-00031",6773.82,25294,92120
"SD-CSI-16046",530,21504,92120
"SD-CSI-07071",1273,18930,92120
"SD-CSI-13110",906,27974.52,92120
"SD-CSI-03194",5316,26580.2,92120
"SD-CSI-09223",1240,23760,92120
"SD-CSI-08378",975,19639.52,92120
"SD-CSI-07144",2898,30790,92120
"SD-CSI-06780",1598,20475,92120
"SD-CSI-10665",2144,56753,92120
"SD-CSI-11530",547,19500,92120
"SD-CSI-11384",1500,41500,92120
"SD-CSI-07088",1782,26592,92120
"SD-CSI-14916",763,21315,92120
"SD-CSI-05206",5387,30643.2,92120
"SD-CSI-04007",4452,20746,92120
"SD-CSI-03042",7072,32726,92120
"SD-CSI-09722",1400,23438,92120
"SD-CSI-12625",876,23947.5,92120
"SD-CSI-11193",2046,54681,92120
"SD-CSI-12397",1211,33845,92120
"SD-CSI-09751",2166,47481,92120
"SD-CSI-05232",5181,38944.26,92120
"SD-CSI-10104",2294,31878,92120
"SD-CSI-05696",4410,24042,92120
"SD-CSI-01177",4794,20315,92120
"SD-CSI-00471",12550,54645.87,92120
"SD-CSI-10833",1438,38743,92120
"SD-CSI-13137",794,25074,92120
"SD-CSI-07647",2389,26585,92120
"SD-CSI-07644",3426,37800,92120
"SD-CSI-06630",2829,30470,92120
"SD-CSI-07121",647,12471,92120
"SD-CSI-07116",3923,65939,92120
"SD-CSI-13641",568,17825,92120
"SD-CSI-12535",874,29407,92120
"SD-CSI-13645",921,27468,92120
"SD-CSI-15138",1041,34659.46,92120
"SD-CSI-14410",1910,54924,92120
"SD-CSI-16166",864,21091.26,92120
"SD-CSI-15094",600,18736,92120
"SD-CSI-12202",484,11164,92120
"SD-CSI-10475",1638,42903,92120
"SD-CSI-10121",1736,32436.73,92120
"SD-CSI-11871",352,13256.95,92120
"SD-CSI-10135",1132,19900,92120
